disease,label,n,A,signal_term,stat_term,theory_min_error_full,theory_min_error_stat,case_auc_llr,random_auc_llr,case_auc_l1,random_auc_l1,case_emp_min_err_llr,random_emp_min_err_llr,case_emp_min_err_l1,random_emp_min_err_l1
D1,Wilms Tumor,1049,124,12.566062422476975,0.941300689541994,0.0,0.014896740491780969,0.9046207497820402,0.7241913687881429,0.8387532693984308,0.6006015649520489,0.17670008718395816,0.33155012205754136,0.2234219703574542,0.41062280078465563
D2,Lung Cancer,1049,73,5.915935423623941,1.6034736978840332,0.0,0.0,0.8557854255558051,0.7734592409611498,0.8031804401527061,0.6267342171008309,0.19918453851336176,0.28827668846844823,0.27521474286997527,0.3871868684033236
D3,Prostate Cancer,1049,65,7.554327114040177,1.802361684805961,0.0,0.0,0.9163852407754847,0.7879435272045028,0.748639774859287,0.6331035803627267,0.14900719199499687,0.27531724515322076,0.291213258286429,0.38131389931207005
D4,MI,1049,62,15.372853186308994,1.8902855513444627,0.0,0.0,0.9474785109651273,0.791247867437984,0.8856260417688009,0.6351168170082035,0.10808249174755695,0.27199153920318986,0.1834820407229467,0.3795279480014381
D5,COPD,1049,47,7.361226464377422,2.500096356937028,0.0,0.0,0.9104344502484393,0.8253634857943687,0.8639741793009725,0.6544851679619484,0.13586656474285472,0.2397456894721196,0.2012145920924109,0.36198046991124133
D6,Sarcoidosis,1049,45,41.08881590526454,2.6124694928018095,0.0,0.0,0.994289508632138,0.8297021912350598,0.9687029659141213,0.6583830787959274,0.031186365648517046,0.23551980965028776,0.09555112881806109,0.3588609672421425
D7,Ductal Adeno.,1049,45,17.419577747229987,2.6124694928018095,0.0,0.0,0.9652058432934927,0.8294661022576361,0.918747233289066,0.6582625498007968,0.06340194776449756,0.23478842408145198,0.12546480743691898,0.35862196768481625
D8,Psoriasis,1049,43,46.12678506513464,2.7354203239350565,0.0,0.0,0.9318045217069675,0.8352377479310185,0.845207822830459,0.6599820148874196,0.14808821489666651,0.22944139812289058,0.2026561560867354,0.3571755397845485
D9,Pancreatitis,1049,37,17.517548344581392,3.1851307493682928,0.0,0.0,0.9610618523662002,0.8540252777481039,0.9054054054054053,0.6718910105757931,0.057806324110671936,0.21030911494498453,0.12369137912616174,0.3467498063775238
D10,BPH,1049,35,11.110861181517073,3.369801161515567,0.0,0.0,0.9433925049309664,0.8632538179768949,0.8201183431952662,0.6766883770076078,0.09757678219216681,0.2007661172161172,0.2483375598760214,0.3420406311637081
D11,Melanoma,1049,35,20.568983046990375,3.369801161515567,0.0,0.0,0.989687235841082,0.8608641307410538,0.9351084812623274,0.6766699492814878,0.023668639053254437,0.2025443434770358,0.10300084530853762,0.3418504719639335
D12,Heart Failure,1049,33,28.387638764754527,3.5772053200101164,0.0,0.0,0.941183488427583,0.8682942615127653,0.8642925316153663,0.6813007486280124,0.10943092340730136,0.19456709317585302,0.18571045096635647,0.3382121137556669
D13,Colon Cancer,1049,29,19.15962009970475,4.0793659280601595,0.0,0.0,0.981000676132522,0.8864059161595673,0.9694726166328601,0.6914151622718052,0.047549019607843135,0.1749226673427992,0.07467883705206221,0.3289497887085869
D14,Ovarian Cancer,1049,24,25.488165138919015,4.947555176185023,0.0,0.0,0.9869918699186992,0.9102518699186992,0.9329674796747969,0.7080827642276422,0.050934959349593495,0.1465821443089431,0.10376016260162602,0.3129033231707317
D15,MS,1049,23,24.362128057590212,5.167517398859429,0.0,0.0,0.9952538350707687,0.9135532460377999,0.9900415289431308,0.7125906856513263,0.031189083820662766,0.14245877828629547,0.04093567251461988,0.30910876981100094
D16,Glioma,1049,20,22.27099109715183,5.962845472552743,0.0,0.0,0.9896501457725948,0.9300285471331389,0.9593780369290573,0.7251644557823129,0.04492225461613217,0.12158457240038874,0.07964042759961128,0.2973362973760933
D17,Renal Cancer,1049,20,16.443598628979625,5.962845472552743,0.0,0.0,0.9484450923226433,0.9305181000971818,0.9155490767735666,0.7260730320699709,0.08935860058309039,0.12190665694849369,0.14837220602526724,0.29673273809523804
D18,Periodontitis,1049,18,40.5417311062409,6.6446656088940275,0.0,0.0,0.9949347990085139,0.9421040252182347,0.9713870029097963,0.7366191938786508,0.011154219204655674,0.10533951665050113,0.0670600280202608,0.2865375983403384
D19,Stomach Tumor,1049,13,23.67877413200246,9.3049647670486,0.0,0.0,0.9991089991089991,0.9713836872586872,0.9865607365607366,0.7724644342144342,0.0033783783783783786,0.060318310068310066,0.028474903474903474,0.2523826291951292
