****** PSID DATA CENTER ************************* 
****** Variable labels for JobID = 350695 ******* 

Variable    Labels

ER66001    RELEASE NUMBER                          
ER66002    2017 FAMILY INTERVIEW (ID) NUMBER       
ER66003    PSID STATE OF RESIDENCE CODE            
ER66004    CURRENT STATE                           
ER66005    SPLITOFF INDICATOR                      
ER66006    MODE OF INTERVIEW                       
ER66007    FAMILY COMPOSITION CHANGE               
ER66008    TYPE INSTITUTION                        
ER66009    1968 FAMILY IDENTIFIER                  
ER66010    WTR REINSTATED DROPPED FAMILY           
ER66011    INTERVIEWER ID                          
ER66012    MONTH CURRENT IW                        
ER66013    DAY CURRENT IW                          
ER66014    YEAR CURRENT IW                         
ER66015    LENGTH OF IW IN MINUTES                 
ER66016    # IN FU                                 
ER66017    AGE OF REFERENCE PERSON                 
ER66018    SEX OF REFERENCE PERSON                 
ER66019    AGE OF SPOUSE                           
ER66020    SEX OF SPOUSE                           
ER66021    # CHILDREN IN FU                        
ER66022    AGE YOUNGEST CHILD                      
ER66023    # NONFU SHARING HU                      
ER66024    REFERENCE PERSON MARITAL STATUS         
ER66025    A3 LIFE SATISFACTION                    
ER66026    A4 TYPE DU                              
ER66027    A6A WTR SENIOR HOUSING                  
ER66028    A7A WTR SENIOR SERVICES                 
ER66029    A8 ACTUAL # ROOMS                       
ER66030    A19 OWN/RENT OR WHAT                    
ER66031    A20 HOUSE VALUE                         
ER66032    ACCURACY OF HOUSE VALUE                 
ER66033    A20A WTR HOUSE WORTH 200,000+           
ER66034    A20B WTR HOUSE WORTH 300,000+           
ER66035    A20C WTR HOUSE WORTH 500,000+           
ER66036    A20D WTR HOUSE WORTH 100,000+           
ER66037    A20E WTR HOUSE WORTH 50,000+            
ER66038    A20A1 RENTAL VALUE AMOUNT               
ER66039    A20A1 RENTAL VALUE PER                  
ER66040    A20F WTR RENTS LOT                      
ER66041    A20G DOLLARS LOT RENT                   
ER66042    A20G DOLLARS PER WHAT                   
ER66043    ACCURACY OF LOT RENT                    
ER66044    A20H WTR LOT RENT INCUDES WATER/SEWER   
ER66045    A21 ANNUAL PROPERTY TAX                 
ER66046    ACCURACY OF ANNUAL PROPERTY TAX         
ER66047    A22 ANNUAL OWNR INSURANC                
ER66048    A23 HAVE MORTGAGE?                      
ER66049    A23A TYPE MORTGAGE MOR 1                
ER66050    A23B WTR ORIGINAL LOAN/REFINANCED #1    
ER66051    A24 REM PRINCIPAL MOR 1                 
ER66052    ACCURACY OF REMAINING MORTGAGE PRIN #1  
ER66053    A25 MNTHLY PMTS MOR 1                   
ER66054    ACCURACY OF MONTHLY PYMNTS ON MTGE #1   
ER66055    A25A1 MTG INCL PROP TAXES #1            
ER66056    A25A2 MTG INCL INS PREM #1              
ER66057    A25A3 WTR CURR INT RATE FIXED/VARBLE #1 
ER66058    A25A4 CURR INTEREST RATE WHOLE PRCNT #1 
ER66059    A25A4 CURR INT RATE DECIMAL FRACTION #1 
ER66060    A26 YEAR OBTAINED LOAN #1               
ER66061    A27 YRS TO PAY MOR # 1                  
ER66062    A27A WTR BEHIND ON MTGE # 1             
ER66063    A27B MONTHS BEHIND ON MTGE # 1          
ER66064    A27C WTR FORECLOSURE ON MTGE # 1        
ER66065    A27D MONTH FORECLOSURE ON MTGE # 1      
ER66066    A27E YEAR FORECLOSURE ON MTGE # 1       
ER66067    A27F WTR RESTRUCTURED MTGE # 1          
ER66068    A27G LIKELY TO FALL BEHIND ON MTGE #1   
ER66069    A28 2ND MORTGAGE                        
ER66070    A23A TYPE MORTGAGE MOR 2                
ER66071    A23B WTR ORIGINAL LOAN/REFINANCED #2    
ER66072    A24 REM PRINCIPAL MOR 2                 
ER66073    ACCURACY OF REMAINING MORTGAGE PRIN #2  
ER66074    A25 MNTHLY PMTS MOR 2                   
ER66075    ACCURACY OF MONTHLY PYMNTS ON MTGE #2   
ER66076    A25A1 MTG INCL PROP TAXES #2            
ER66077    A25A2 MTG INCL INS PREM #2              
ER66078    A25A3 WTR CURR INT RATE FIXED/VARBLE #2 
ER66079    A25A4 CURR INTEREST RATE WHOLE PRCNT #2 
ER66080    A25A4 CURR INT RATE DECIMAL FRACTION #2 
ER66081    A26 YEAR OBTAINED LOAN #2               
ER66082    A27 YRS TO PAY MOR # 2                  
ER66083    A27A WTR BEHIND ON MTGE # 2             
ER66084    A27B MONTHS BEHIND ON MTGE # 2          
