ID_REF      hsa-miR-3941  hsa-miR-3171  hsa-miR-548u  hsa-miR-1293  ...  hsa-miR-302a  hsa-miR-1262  hsa-miR-1909*  hsa-miR-137
GSM1688368      1.146780      1.794686      1.803200      0.828702  ...      2.297499      1.147120       2.708118     1.017432
GSM1688376      1.128480      1.756641      1.785174      0.369423  ...      2.033036      1.318275       2.159813     1.136244
GSM1688384      1.372278      2.153478      2.145373      1.244495  ...      2.786524      1.420210       2.118118     1.145550
GSM1688431      1.249245      2.416464      1.766497      1.127769  ...      3.098042      1.389980       1.712939     1.130121
GSM1688439      0.780412      1.679011      2.014251      1.316184  ...      2.381984      1.075008       2.213607     0.857645
GSM1688447      1.378501      2.106348      2.215953      0.176750  ...      2.540365      1.323417       2.199062     0.891946
GSM1688455      1.063533      2.130023      1.716326      0.955907  ...      2.442493      1.409890       2.069317     1.338224
GSM1688471      1.005913      1.712471      1.952397      1.004101  ...      2.121596      0.910716       1.860132     0.675752
GSM1688479      1.374623      2.063592      1.336793      1.794790  ...      2.930876      1.181446       2.241021     0.851112
GSM1688487      1.038328      2.171353      2.235615      1.195304  ...      3.253887      0.801046       1.994465     1.127856
GSM1688503      1.034525      2.270895      1.803054      1.353022  ...      2.546570      1.253888       2.037675     0.897000
GSM1688511      0.666704      1.578395      1.817990      1.339845  ...      2.194916      0.880332       2.241834     0.763002
GSM1688518      0.950525      2.098570      1.833378      1.071815  ...      2.474872      0.788483       1.774742     1.160888
GSM1688526      0.864528      1.794526      1.929030      1.107225  ...      2.222822      0.967642       1.985764     0.768890
GSM1688542      0.901564      2.168410      1.600613      0.941220  ...      2.816868      1.747636       2.946036     1.026441
GSM1688550      1.845981      2.174695      1.927043      0.317248  ...      2.677467      1.067751       1.568428     1.288687
GSM1688557      1.202872      1.826795      2.020880      0.979090  ...      2.365250      1.774534       2.933618     1.014367
GSM1688565      1.289222      1.865406      1.845536      0.645705  ...      2.150897      1.206377       2.366857     1.275629

[18 rows x 1071 columns]
ID_REF      hsa-miR-3941  hsa-miR-3171  hsa-miR-548u  hsa-miR-1293  ...  hsa-miR-302a  hsa-miR-1262  hsa-miR-1909*  hsa-miR-137
GSM1688369      1.086805      1.927279      1.844738      0.812297  ...      2.013161      1.322431       2.345048     1.009737
GSM1688377      1.027833      1.624123      1.345061      1.360692  ...      2.388426      1.110681       2.905024     0.499908
GSM1688385      0.908694      1.863462      1.870001      1.126735  ...      1.987387      1.318653       1.959693     1.016476
GSM1688432      1.100484      1.868979      2.022453      1.080279  ...      2.381256      1.433673       2.556035     0.707639
GSM1688440      0.801663      1.601389      1.393294      1.022737  ...      1.939421      1.299962       2.638229     0.707178
GSM1688448      0.881039      1.966005      2.002916      1.377081  ...      2.241150      1.290921       2.481780     0.443074
GSM1688456      1.543035      2.175309      2.102433      1.121498  ...      3.512118      1.306763       3.733235     1.141381
GSM1688472      0.805092      1.650132      1.969422      0.622390  ...      2.247640      1.307828       1.880493     1.214454
GSM1688480      0.912224      2.369008      1.846918      1.171626  ...      2.455629      1.317610       1.436053     0.898602
GSM1688488      1.153009      2.117556      2.052477      1.051342  ...      2.670994      1.432661       2.273625     1.117980
GSM1688504      0.522753      1.823944      1.809952      0.778462  ...      2.084412      1.825540       2.176212     1.053582
GSM1688512      1.227894      1.948457      1.983734      1.088439  ...      2.182431      1.384635       1.896009     0.776540
GSM1688519      0.674814      1.555872      1.711867      1.232845  ...      1.883373      1.040720       2.276644     0.787099
GSM1688527      1.188445      1.671215      1.803193      1.048816  ...      2.023746      1.422074       2.489407     1.253626
GSM1688543      1.198218      1.759083      1.573617      1.094068  ...      2.289220      1.086096       2.119262     0.712729
GSM1688551      1.229808      1.605246      1.963909      0.164351  ...      2.017064      0.849064       2.391819     1.371348
GSM1688558      1.207904      1.879374      2.051065      0.746137  ...      2.052752      1.217783       2.420843     1.166880
GSM1688566      0.733366      1.923952      1.966815      0.761242  ...      2.275649      1.316771       2.589316     1.167863

[18 rows x 1071 columns]
ID_REF      hsa-miR-3941  hsa-miR-3171  hsa-miR-548u  hsa-miR-1293  ...  hsa-miR-302a  hsa-miR-1262  hsa-miR-1909*  hsa-miR-137
GSM1688370      0.730801      1.890884      1.955124      0.932809  ...      2.000877      1.488601       2.067544     1.119816
GSM1688378      1.034808      2.066262      1.990504      0.566957  ...      2.051067      1.221314       2.078820     1.013358
GSM1688386      1.248509      1.638934      1.520955      1.504977  ...      3.147001      0.555441       3.906413     0.719932
GSM1688433      0.789458      2.153609      1.450974      1.621332  ...      2.384904      1.611125       1.841023     0.939051
GSM1688441      0.635819      1.744833      1.737451      1.206549  ...      2.174357      1.019052       2.237006     1.124987
GSM1688449      1.114508      1.897662      1.773363      0.962604  ...      2.167164      0.462415       2.239064     0.787632
GSM1688457      1.141739      1.811581      1.885221      1.191941  ...      2.153298      1.242405       2.243164     1.192229
GSM1688473      1.035135      1.313144      1.668515      0.791622  ...      1.985612      1.074149       2.528355     0.692756
GSM1688481      0.660802      2.032656      1.609686      1.447916  ...      2.050551      1.395178       2.726072     0.626864
GSM1688489      1.242708      1.816955      1.820616      1.561988  ...      2.620941      1.382108       2.218643     0.855240
GSM1688505      0.922091      1.933439      1.462453      0.973516  ...      2.224671      1.534531       2.630926     1.114527
GSM1688513      0.893003      1.580456      1.776345      0.999680  ...      1.674801      1.029169       2.690784     0.623181
GSM1688520      1.097980      1.994057      2.093987      1.137155  ...      3.005520      1.013059       2.155534     1.095278
GSM1688528      1.180479      1.911934      1.877113      0.701994  ...      2.580199      1.195291       2.144952     1.168743
GSM1688544      0.932732      2.001303      1.764112      0.936686  ...      2.299424      1.227338       1.911265     0.989815
GSM1688552      1.563180      1.761445      1.856565      1.043604  ...      2.126183      1.096364       2.907696     1.321452
GSM1688559      1.566844      2.617034      1.707130      1.394220  ...      3.209428      1.437537       2.310497     1.196184
GSM1688567      1.803553      2.302562      1.566741      1.135951  ...      2.744277      1.660868       2.237688     0.989862

[18 rows x 1071 columns]
ID_REF      hsa-miR-3941  hsa-miR-3171  hsa-miR-548u  hsa-miR-1293  ...  hsa-miR-302a  hsa-miR-1262  hsa-miR-1909*  hsa-miR-137
GSM1688371      1.224167      2.131083      1.727899      1.137778  ...      2.821887      1.210259       3.244438     1.281865
GSM1688379      1.039327      2.236596      1.954638      0.930704  ...      2.277160      1.631614       2.309272     0.907455
GSM1688387      0.872313      2.077998      1.978948      1.110921  ...      2.195677      1.241195       2.266561     1.458072
GSM1688434      0.718833      2.448255      1.717021      1.537051  ...      3.066383      1.353608       2.235196     1.002652
GSM1688442      0.247550      1.616389      2.050029      0.726370  ...      2.041164      1.229752       2.208059     0.692085
GSM1688450      1.054123      1.947049      2.038147      1.118906  ...      2.871721      1.400898       2.423342     1.187872
GSM1688458      0.982271      1.807866      1.752683      0.999677  ...      2.343469      1.076591       2.602910     1.209847
GSM1688474      1.276543      1.589504      1.851426      0.997610  ...      2.247640      1.135055       2.733730     0.963034
GSM1688482      0.462861      2.490863      1.951999      1.515148  ...      3.073859      1.378801       2.308042     0.563593
GSM1688490      1.083829      1.784776      1.670271      1.450015  ...      2.120809      1.026186       2.818608     1.047767
GSM1688506      1.244644      2.247955      1.734751      0.939801  ...      2.431908      1.030457       2.199518     1.095259
GSM1688514      1.187476      1.774546      1.430831      1.003170  ...      2.042325      1.662464       2.632017     0.790341
GSM1688521      1.099938      1.839332      1.799206      0.644792  ...      2.470246      0.924195       2.297708     0.789667
GSM1688529      1.499948      2.534090      1.734018      1.265390  ...      2.929775      1.482683       2.082930     1.127036
GSM1688545      0.758955      1.699786      1.541056      0.293615  ...      1.899745      1.313786       2.016609     0.936485
GSM1688553      1.462189      2.212670      2.228359      0.267735  ...      2.691109      0.776573       2.960758     1.366625
GSM1688560      1.368005      2.110096      1.844662      0.667326  ...      2.740902      1.345770       2.301135     1.274216
GSM1688568      1.079376      1.814923      1.594151      0.927499  ...      2.110189      1.257912       2.893712     0.870753

[18 rows x 1071 columns]
ID_REF      hsa-miR-3941  hsa-miR-3171  hsa-miR-548u  hsa-miR-1293  ...  hsa-miR-302a  hsa-miR-1262  hsa-miR-1909*  hsa-miR-137
GSM1688372      1.161450      1.759726      1.894810      1.114882  ...      2.480152      1.355986       2.490199     1.107685
GSM1688380      0.622053      2.029220      1.688922      0.891089  ...      2.095053      1.007483       2.292074     1.129116
GSM1688388      0.958217      2.094717      2.015211      1.058784  ...      2.416621      1.339940       2.361034     0.811761
GSM1688435      1.297569      1.676844      1.520165      0.741174  ...      2.333624      0.765927       2.686180     1.306608
GSM1688443      1.371585      1.941500      1.966613      0.994366  ...      2.536227      0.993846       2.798631     1.266818
GSM1688451      1.199456      1.831629      1.918421      1.390845  ...      2.254714      1.121115       2.351127     1.515602
GSM1688459      1.382463      2.516795      2.396349      1.213023  ...      2.644403      1.329724       2.670985     1.272885
GSM1688475      0.805092      1.748991      2.002302      1.541351  ...      2.041231      0.832709       3.889008     0.664714
GSM1688483      0.785661      2.176447      1.665950      1.581339  ...      2.754762      1.372497       2.296954     1.358285
GSM1688491      1.120178      1.898595      1.986266      0.928561  ...      3.270505      1.232687       1.636128     1.610434
GSM1688507      0.961067      2.104922      1.972740      1.523922  ...      2.573715      1.283212       1.968108     0.951961
GSM1688515      0.997704      1.634078      1.418900      0.466991  ...      2.310548      1.085309       1.920126     1.523871
GSM1688522      0.702875      2.467812      2.866700      1.036002  ...      3.106015      1.403713       2.252602     0.980208
GSM1688530      1.009291      2.248346      2.214372      0.981336  ...      2.720690      1.242979       2.100627     0.985113
GSM1688546      1.194067      1.880133      1.758491      0.992227  ...      2.414199      1.048326       1.873584     0.929501
GSM1688554      1.557451      2.521505      2.348571      1.034623  ...      3.152884      0.803028       2.827235     1.426457
GSM1688561      0.992457      2.051397      1.959246      0.827605  ...      2.452038      1.489643       2.242046     1.301961
GSM1688569      1.111433      1.822417      2.153256      0.874414  ...      2.511271      1.271767       2.200325     0.997110

[18 rows x 1071 columns]
ID_REF      hsa-miR-3941  hsa-miR-3171  hsa-miR-548u  hsa-miR-1293  ...  hsa-miR-302a  hsa-miR-1262  hsa-miR-1909*  hsa-miR-137
GSM1688373      1.341032      1.541805      1.368559      1.559049  ...      2.844541      0.604963       3.064562     0.511301
GSM1688381      0.977262      1.758637      1.912908      0.865964  ...      2.035694      1.028929       2.132901     1.156764
