disease,label,n,A_full,A_diseased_miRNAs,signal_term,signal_term_half,theory_min_err_full,theory_min_err_stat,theory_min_err_half,case_min_err_llr,case_min_err_l1,random_min_err_llr,random_min_err_l1,case_auc_llr,case_auc_l1,random_auc_llr,random_auc_l1,case_min_err_llr_std,case_min_err_l1_std,random_min_err_llr_std,random_min_err_l1_std,case_auc_llr_std,case_auc_l1_std,random_auc_llr_std,random_auc_l1_std,n_ok_case_llr,n_ok_case_l1,n_ok_random_llr,n_ok_random_l1,iterations
D3,Prostate Cancer,5,65,21,7.554327114040177,10.76283201778503,0.0,0.0,0.0,5.0747946660004374e-05,0.1364630081300813,0.00041441896112716587,0.13243636363636363,0.9999769682395928,0.8852140243902439,0.9997422884517039,0.888888049029622,0.00027476143474935733,0.05664942094106827,0.0013675183807979586,0.056117255010587584,0.00011809058512682392,0.060011989751571536,0.0007174226441955272,0.05797478110589089,1562,2000,1522,2000,2000
D3,Prostate Cancer,8,65,21,7.554327114040177,10.76283201778503,0.0,0.0,0.0,0.004029252994142844,0.1876404979674797,0.011978664416586305,0.1963826844262295,0.9986962775373722,0.8419610010162601,0.9950656102802091,0.8296603483606557,0.009372284967548921,0.048450004267300076,0.014755190815987794,0.04792096510139344,0.003039067939891486,0.05246850067430774,0.0059261218198698035,0.05225183954573873,1860,2000,1768,2000,2000
D3,Prostate Cancer,10,65,21,7.554327114040177,10.76283201778503,0.0,0.0,0.0,0.013080640243902441,0.21020985772357723,0.03033305954825462,0.22309358316221767,0.9958385162601626,0.8232177337398375,0.9873550821355236,0.8027396303901437,0.016463752115546283,0.04476023011125294,0.02328838190065459,0.04395833805593987,0.005801380381230286,0.0475660850962625,0.010571402667438695,0.04913165261477229,2000,2000,2000,2000,2000
D3,Prostate Cancer,15,65,21,7.554327114040177,10.76283201778503,0.0,0.0,0.0,0.03960711382113821,0.2421555386178862,0.07873808049535604,0.268240608875129,0.9857120596205962,0.7955040311653117,0.959640866873065,0.7567213278293774,0.02206694288635301,0.035764092865432376,0.03245871353145954,0.03765901040960903,0.010112205576646636,0.03967324310237003,0.021464307336325764,0.04222110037707371,2000,2000,2000,2000,2000
D3,Prostate Cancer,20,65,21,7.554327114040177,10.76283201778503,0.0,0.0,0.0,0.06538302845528456,0.2593256605691057,0.12176441908713694,0.29574953319502073,0.9736740345528456,0.7802423272357724,0.9300111255186722,0.7269937500000001,0.02344787109428693,0.029943722110120845,0.03494751254018286,0.03362303381758808,0.012728691728657029,0.03198478253944428,0.02813268683824424,0.037455057014900275,2000,2000,2000,2000,2000
D3,Prostate Cancer,25,65,21,7.554327114040177,10.76283201778503,0.0,0.0,0.0,0.08582895325203252,0.2697690548780488,0.1543888008342023,0.31510639207507823,0.9627763414634146,0.7712242073170732,0.9046512200208552,0.7058845464025025,0.02189136694084306,0.025587852347531786,0.036464533308659,0.029622031758763313,0.013358664019514082,0.027172415999440334,0.032150968422988556,0.03372895248198018,2000,2000,2000,2000,2000
D3,Prostate Cancer,30,65,21,7.554327114040177,10.76283201778503,0.0,0.0,0.0,0.10003434959349593,0.2769680894308943,0.17837306079664572,0.3312102725366876,0.9531126693766937,0.7645171070460705,0.883086146051712,0.6885069357092941,0.019797514515742208,0.022367915755442794,0.036559403581576125,0.02708292533634753,0.01385938250094427,0.024174431397730928,0.0352490089974206,0.03168810995998395,2000,2000,2000,2000,2000
D3,Prostate Cancer,35,65,21,7.554327114040177,10.76283201778503,0.0,0.0,0.0,0.11137998693379791,0.2812877322880372,0.20172998645190426,0.3418066009333133,0.9457558217189315,0.7605741434378629,0.86172343820563,0.676544166792112,0.017797885376369924,0.019858059114706374,0.03673401099760774,0.02612649299793692,0.013104353255190368,0.020697680699707267,0.03777705470060892,0.029748868771445176,2000,2000,2000,2000,2000
D3,Prostate Cancer,40,65,21,7.554327114040177,10.76283201778503,0.0,0.0,0.0,0.12062073170731707,0.28518079268292684,0.21882648305084745,0.3520440148305085,0.9393257621951219,0.7576243394308944,0.8458971398305084,0.6658410752118643,0.015347225569005507,0.01661348914086969,0.03511781574037067,0.02432386855004294,0.011912521602042427,0.017260621050767096,0.03709757298593873,0.028348358444878,2000,2000,2000,2000,2000
D3,Prostate Cancer,50,65,21,7.554327114040177,10.76283201778503,0.0,0.0,0.0,0.1380695731707317,0.28988697154471543,0.24904700214132766,0.3661215845824411,0.9278493902439023,0.7525557012195122,0.8150775802997859,0.6499314025695931,0.011442645330481735,0.012214514124220784,0.034275161005700966,0.021895140677060228,0.009243616483426413,0.01198844114622717,0.038541836172734406,0.02542189474082447,2000,2000,2000,2000,2000
D3,Prostate Cancer,65,65,21,7.554327114040177,10.76283201778503,0.0,0.0,0.0,0.14900719199499687,0.29121325828642897,0.2738471373566586,0.3799667824558467,0.9163852407754847,0.7486397748592868,0.789838838202059,0.6345095002929606,0.0,5.552503422540543e-17,0.03167726269573243,0.0198854302288611,0.0,2.221001369016217e-16,0.037551283951791414,0.02283892657232522,2000,2000,2000,2000,2000
D1,Wilms Tumor,5,124,59,12.566062422476975,11.42108696740237,0.0,0.0,0.0,0.0005049116913523694,0.09793459459459458,0.00035685794062339734,0.13054184782608694,0.9997135440525271,0.9282137297297297,0.9997683628696793,0.8907040217391304,0.001721010744272191,0.050512190868374496,0.001143408283067771,0.054796768403761784,0.000979195106336331,0.04579546478012027,0.0006510907355593014,0.05621678976871047,1062,2000,1526,2000,2000
D1,Wilms Tumor,8,124,59,12.566062422476975,11.42108696740237,0.0,0.0,0.0,0.008322150493111496,0.13959760135135132,0.012421486736140849,0.19332493865866957,0.9967436761273809,0.8989372972972973,0.9949789721525067,0.831914667393675,0.010640261536020832,0.04582758840820676,0.015633910433133447,0.04820075505073698,0.00429990566723902,0.042951214173952604,0.005907980855225168,0.05222378047716393,1436,2000,1798,2000,2000
D1,Wilms Tumor,10,124,59,12.566062422476975,11.42108696740237,0.0,0.0,0.0,0.0196477027027027,0.1553445945945946,0.029339617486338794,0.22370983606557376,0.9929095675675675,0.8872401081081082,0.9875785792349727,0.8022603825136612,0.017060070034865187,0.04342263196360795,0.022894652296285383,0.04465953374596299,0.006577888989814973,0.04038136413575482,0.010423195303648316,0.04914682888363946,2000,2000,2000,2000,2000
D1,Wilms Tumor,15,124,59,12.566062422476975,11.42108696740237,0.0,0.0,0.0,0.05081855855855857,0.18034450450450454,0.08054972527472526,0.2662612637362637,0.9808366486486486,0.8706915675675675,0.9590391941391941,0.7582081318681319,0.023439144064285145,0.036373277978516895,0.03291775759140759,0.037162754438413825,0.011016485300784305,0.03406052872955426,0.021250004295235225,0.04136630280867518,2000,2000,2000,2000,2000
D1,Wilms Tumor,20,124,59,12.566062422476975,11.42108696740237,0.0,0.0,0.0,0.0727379054054054,0.19224905405405407,0.12117265193370166,0.29417334254143646,0.9698594864864865,0.862243081081081,0.9302414640883978,0.7290881767955801,0.02439237268634236,0.03245004978941255,0.036015159367368335,0.03302276906484504,0.013545697796449551,0.030467718308818975,0.02878733240274042,0.03782446711182991,2000,2000,2000,2000,2000
