config,alpha,auc_l1,auc_llr
D3 case,0.01,0.7488053705440877,0.9164396810506569
D3 case,0.012067926406393288,0.7487884146341457,0.9164423389618501
D3 case,0.014563484775012436,0.7487880706691679,0.9164340759849904
D3 case,0.017575106248547922,0.748731934021262,0.9164152829893689
D3 case,0.021209508879201904,0.7486883286429012,0.916395747342088
D3 case,0.025595479226995357,0.7486220606629134,0.9163580675422118
D3 case,0.030888435964774818,0.7486239055659777,0.9162849202626638
D3 case,0.0372759372031494,0.7485231472795503,0.9162262742338957
D3 case,0.04498432668969444,0.748512054409006,0.9161689415259527
D3 case,0.054286754393238594,0.7483869058786738,0.9160338805503451
D3 case,0.0655128556859551,0.748207184177611,0.9158686288305207
D3 case,0.07906043210907697,0.7479439024390245,0.9155733505315834
D3 case,0.09540954763499938,0.7475133989993749,0.9150864993746095
D3 case,0.1151395399326447,0.746952267041899,0.9144244215134455
D3 case,0.13894954943731375,0.7465418151969991,0.9131404080675424
D3 case,0.16768329368110074,0.7454716776110071,0.9112063008130059
D3 case,0.20235896477251566,0.7446247889305824,0.9072101938711707
D3 case,0.2442053094548651,0.7436867182614162,0.9007642198248906
D3 case,0.29470517025518095,0.7422622498436515,0.8902086303939963
D3 case,0.35564803062231287,0.7409577782989375,0.8742500469043155
D3 case,0.42919342601287763,0.7400400093808623,0.8523843652282671
D3 case,0.517947467923121,0.7382763055034395,0.8254166979362092
D3 case,0.6250551925273969,0.7360400250156318,0.7920016025641027
D3 case,0.7543120063354615,0.7319948170731716,0.7557957629768596
D3 case,0.9102981779915218,0.7273750312695434,0.7187640712945594
D3 case,1.0985411419875584,0.7186423311444653,0.6813683943089425
D3 case,1.325711365590108,0.7078208958724208,0.6494242886178853
D3 case,1.5998587196060574,0.6952141416510316,0.6191361006879286
D3 case,1.9306977288832496,0.677859451219513,0.5963933786741715
D3 case,2.329951810515372,0.6604746560350221,0.574047897123201
D3 case,2.811768697974228,0.6421081378986853,0.5581055972482803
D3 case,3.3932217718953264,0.6250575515947464,0.5450056050656655
D3 case,4.094915062380423,0.6084371247654781,0.5336102954971861
D3 case,4.941713361323833,0.5916639853033145,0.5286357645403378
D3 case,5.963623316594643,0.5770064571607249,0.5215940040650398
D3 case,7.196856730011514,0.5671584505941211,0.5179176282051273
D3 case,8.68511373751352,0.554839774859287,0.5134911741713576
D3 case,10.481131341546853,0.5466610616010017,0.5131556676047534
D3 case,12.648552168552959,0.5370032754846773,0.5096154393370862
D3 case,15.264179671752318,0.5321933239524698,0.5081503908692926
